I	O
'm	O
taking	O
95	O
south	O
back	O
to	O
SOUTH	LOC
CAROLINA	LOC
!!	O
The	O
843	O
.	O
Leaving	O
Friday	O
@	O
2	O
p.m.	O

Hello	O
!	O
I	O
'm	O
looking	O
for	O
a	O
ride	O
from	O
Montreal	LOC
-LRB-	LOC
Berri-UQAM	LOC
-RRB-	LOC
to	O
Bishop	LOC
's	LOC
for	O
two	O
people	O
on	O
September	O
2nd	O
,	O
ideally	O
leaving	O
Montreal	LOC
around	O
10	O
AM	O
.	O

looking	O
for	O
a	O
ride	O
to	O
Montreal	LOC
on	O
Thursday	O
if	O
anyone	O
has	O
a	O
spot	O
!	O

Leaving	O
to	O
VA	LOC
beach	LOC
tomorrow	O
hmu	O
for	O
a	O
ride	O

I	O
'm	O
looking	O
up	O
for	O
a	O
ride	O
up	O
to	O
UVA	LOC
on	O
Feb.	O
17th	O
!	O
I	O
'll	O
pitch	O
in	O
for	O
gas	O
!	O

Is	O
anyone	O
going	O
from	O
Eugene	LOC
to	O
Ashland	LOC
this	O
Friday	O
,	O
the	O
12th	O
?	O
Four	O
of	O
us	O
ar	O
looking	O
for	O
a	O
ride	O
and	O
will	O
help	O
pay	O
for	O
gas	O
!!	O
Thanks	O
so	O
much	O
:-RRB-	O

Looking	O
for	O
a	O
ride	O
back	O
to	O
Blacksburg	LOC
from	O
Fredericksburg/Stafford/Richmond	LOC
/	LOC
Chesterfield	LOC
on	O
Sunday	O
!	O

Last	O
call	O
,	O
driving	O
to	O
mtl	LOC
this	O
evening	O
at	O
5:30	O
,	O
coming	O
back	O
on	O
sunday	O
:-RRB-	O
Going	O
to	O
NOVA	LOC
-LRB-	LOC
Woodbridge/Manassas/Dumfries	LOC
-RRB-	LOC
on	O
Wednesday	O
at	O
1:30	O
,	O
Gas	O
$	O
apreciated	O
!	O

looking	O
for	O
a	O
ride	O
from	O
montreal	LOC
to	O
sherbrooke	LOC
on	O
monday	O
anytime	O
thanks	O

Is	O
anyone	O
driving	O
from	O
Bethesda/DC/Nova	LOC
to	O
Tech	LOC
this	O
Sunday	O
-LRB-	O
10/4	O
-RRB-	O
?	O
Will	O
pay	O
for	O
gas	O
!	O

Looking	O
for	O
ride	O
to	O
Mtl	LOC
tomorrow	O
after	O
230	O
before	O
5	O

Anyone	O
commute	O
from	O
Carroll	LOC
county	LOC
to	O
VT	LOC
everyday	O
?	O

Need	O
a	O
ride	O
from	O
richmond	LOC
to	O
virginia	LOC
beach	LOC
,	O
sunday	O
at	O
any	O
time	O
!	O
Can	O
help	O
with	O
gas	O
!	O

Going	O
to	O
springfield	LOC
NOVA	LOC
on	O
Wednesday	O
.	O
If	O
anyone	O
needs	O
a	O
ride	O
let	O
me	O
know	O
.	O

OFFER	O
Sunday	O
,	O
Dec.	O
7	O
at	O
5:30	O
am	O
BU	LOC
to	O
MTL	LOC
1	O
place	O
Text	O
5147162504	O
or	O
comment	O
!	O

I	O
'm	O
Looking	O
for	O
a	O
ride	O
to	O
jmu	LOC
on	O
the	O
30th	O
of	O
January	O
and	O
a	O
ride	O
back	O
on	O
the	O
1st	O
of	O
February	O
,	O
willing	O
to	O
pay	O
gas	O
.	O
Please	O
message	O
me	O
if	O
you	O
have	O
an	O
extra	O
seat	O
:-RRB-	O

anyone	O
going	O
to	O
the	O
